"w1","w2","prediction","rank"
"a","city","where",11
"a","city","with",10
"a","civil","rights",12
"a","civil","war",8
"a","class","act",7
"a","class","action",7
"a","class","and",6
"a","class","i",5
"a","class","of",11
"a","class","on",14
"a","class","or",3
"a","class","that",9
"a","classic","case",9
"a","clause","in",4
"a","clean","and",8
"a","clear","path",4
"a","clear","shot",5
"a","clear","sign",4
"a","clear","understanding",6
"a","client","who",5
"a","clip","of",10
"a","close","eye",9
"a","close","friend",19
"a","close","game",15
"a","close","look",7
"a","close","third",3
"a","closer","look",24
"a","closeup","of",9
"a","cloud","in",6
"a","cloud","of",8
"a","club","that",6
"a","clue","what",10
"a","coach","on",4
"a","coat","of",9
"a","code","of",6
"a","coffee","filter",3
"a","coffee","shop",18
"a","coffee","table",6
"a","coincidence","that",9
"a","cold","front",6
"a","cold","or",5
"a","collaboration","between",5
"a","collection","of",78
"a","college","campus",7
"a","college","degree",8
"a","college","football",5
"a","college","graduate",5
"a","college","student",15
"a","column","about",3
"a","coma","for",10
"a","combination","of",103
"a","combo","of",9
"a","coming","of",3
"a","comment","about",4
"a","comment","on",36
"a","comment","or",8
"a","commercial","for",10
"a","commitment","to",33
"a","common","goal",6
"a","common","man",3
"a","common","problem",4
"a","common","theme",6
"a","common","thread",7
"a","community","and",6
"a","community","college",12
"a","community","of",13
"a","community","service",4
"a","community","that",17
"a","company","and",3
"a","company","called",7
"a","company","is",8
"a","company","that",42
"a","competition","to",5
"a","competitive","advantage",4
"a","compilation","of",7
"a","complaint","against",12
"a","complaint","to",3
"a","complaint","with",9
"a","complete","and",5
"a","complete","failure",5
"a","complete","list",11
"a","complete","stranger",7
"a","completely","different",29
"a","completely","happy",3
"a","completely","new",9
"a","complex","problem",4
"a","compliment","to",5
"a","computer","and",6
"a","computer","for",4
"a","computer","screen",6
"a","computer","to",5
"a","concert","at",5
"a","concert","in",10
"a","concerted","effort",3
"a","conference","and",5
"a","conference","at",4
"a","conference","in",9
"a","conference","on",6
"a","confession","i",4
"a","confirmation","that",3
"a","conflict","of",13
"a","connection","between",6
"a","connection","to",12
"a","connection","with",8
"a","conscious","decision",5
"a","consensus","on",3
"a","considerable","amount",9
"a","constant","source",5
"a","constant","stream",4
"a","constitutional","amendment",17
"a","constitutional","right",8
"a","container","of",7
"a","contest","to",10
"a","continuation","of",9
"a","contract","for",11
"a","contract","that",5
"a","contract","to",15
"a","contract","with",20
"a","contractor","you",4
"a","contribution","to",7
"a","control","freak",6
"a","conversation","about",15
"a","conversation","on",8
"a","conversation","that",8
"a","conversation","with",37
"a","cooking","class",7
"a","cookout","and",3
"a","cool","degrees",3
"a","cool","place",9
"a","copy","for",5
"a","copy","of",172
"a","corner","and",12
"a","corner","in",4
"a","corner","of",9
"a","corner","to",4
"a","correlation","between",5
"a","counterpoint","to",3
"a","country","is",5
"a","country","like",4
"a","country","that",13
"a","country","where",18
"a","couple","and",8
"a","couple","days",49
"a","couple","different",6
"a","couple","from",5
"a","couple","hours",24
"a","couple","hundred",16
"a","couple","is",5
"a","couple","months",21
"a","couple","more",51
"a","couple","of",1087
"a","couple","other",5
"a","couple","people",5
"a","couple","things",9
"a","couple","times",20
"a","couple","weeks",75
"a","couple","years",39
"a","coupon","for",9
"a","course","in",7
"a","court","hearing",9
"a","court","of",5
"a","court","order",17
"a","cover","letter",4
"a","coworker","and",6
"a","coworker","who",3
"a","crack","at",7
"a","crack","in",7
"a","craft","beer",6
"a","crash","course",9
"a","craving","for",9
"a","creation","of",3
"a","creative","way",6
"a","credit","card",33
"a","credit","union",5
"a","crime","against",6
"a","crime","scene",8
"a","crime","to",12
"a","crisis","that",4
"a","crisp","white",3
"a","cross","between",21
"a","cross","country",3
"a","crowd","of",32
"a","crowded","street",4
"a","crucial","time",3
"a","cruise","ship",8
"a","cruise","to",4
"a","cry","for",8
"a","culture","of",9
"a","culture","that",11
"a","cup","of",108
"a","cure","for",21
"a","curling","iron",4
"a","customer","in",4
"a","customer","is",3
"a","customer","service",10
"a","cut","in",7
"a","cut","of",7
"a","cute","face",4
"a","cute","little",22
"a","cutting","board",10
"a","daily","basis",47
"a","damn","about",8
"a","damn","good",21
"a","damper","on",15
"a","danger","to",12
"a","dark","and",8
"a","dark","place",3
"a","dark","room",7
"a","darn","good",4
"a","dash","of",22
"a","date","and",5
"a","date","for",7
"a","date","in",6
"a","date","night",12
"a","date","to",10
"a","date","with",22
"a","daughter","of",5
"a","day","about",3
"a","day","after",42
"a","day","and",51
"a","day","as",5
"a","day","at",31
"a","day","before",10
"a","day","but",16
"a","day","by",8
"a","day","days",3
"a","day","did",3
"a","day","for",42
"a","day","from",7
"a","day","goes",5
"a","day","he",7
"a","day","how",4
"a","day","i",35
"a","day","in",62
"a","day","is",9
"a","day","it",9
"a","day","just",4
"a","day","keeps",7
"a","day","late",8
"a","day","later",8
"a","day","like",12
"a","day","not",4
"a","day","of",84
"a","day","off",63
"a","day","on",13
"a","day","or",56
"a","day","out",4
"a","day","so",10
"a","day","that",30
"a","day","the",13
"a","day","this",8
"a","day","to",59
"a","day","trip",12
"a","day","when",26
"a","day","with",11
"a","day","you",9
"a","dead","body",10
"a","deadly","weapon",12
"a","deal","done",8
"a","deal","on",10
"a","deal","so",4
"a","deal","to",22
"a","deal","with",43
"a","dear","friend",21
"a","death","in",4
"a","debate","about",6
"a","decade","after",8
"a","decade","ago",52
"a","decade","before",4
"a","decade","later",13
"a","decent","amount",12
"a","decent","hour",6
"a","decent","shot",4
"a","decision","on",18
"a","decision","that",13
"a","decision","to",13
"a","decrease","in",8
"a","dedicated","fan",4
"a","deep","breath",54
"a","deep","respect",6
"a","deep","sense",3
"a","deeper","level",4
"a","defense","against",5
"a","degree","in",34
"a","delay","of",5
"a","delegation","of",4
"a","delight","to",10
"a","democrat","from",16
"a","dent","in",8
"a","department","store",6
"a","departure","for",4
"a","description","of",17
"a","desire","for",12
"a","desire","to",47
"a","device","that",8
"a","diamond","in",3
"a","diamond","ring",4
"a","difference","a",6
"a","difference","and",10
"a","difference","between",29
"a","difference","by",4
"a","difference","for",6
"a","difference","in",50
"a","different","angle",3
"a","different","approach",10
"a","different","direction",12
"a","different","kind",21
"a","different","language",7
"a","different","name",5
"a","different","neighborhood",5
"a","different","opinion",5
"a","different","part",7
"a","different","person",9
"a","different","perspective",11
"a","different","sort",5
"a","different","state",5
"a","different","story",31
"a","different","style",4
"a","different","thing",4
"a","different","time",9
"a","different","twist",3
"a","different","type",7
"a","different","view",5
"a","different","way",29
"a","different","world",7
"a","difficult","decision",7
"a","difficult","situation",8
"a","difficult","task",8
"a","difficult","thing",4
"a","difficult","time",19
"a","digital","camera",7
"a","dinner","party",12
"a","dinner","with",5
"a","dip","in",6
"a","direct","line",3
"a","direct","result",9
"a","director","at",4
"a","dirty","job",3
"a","dirty","little",3
"a","discount","off",4
"a","discount","on",14
"a","discount","there",3
"a","discussion","about",14
"a","discussion","of",16
"a","discussion","with",7
"a","disease","that",5
"a","disney","princess",3
"a","display","of",7
"a","distinct","possibility",6
"a","distraction","from",3
"a","distraction","to",4
"a","doctor","in",6
"a","doctor","or",5
"a","doctor","to",4
"a","doctor","who",7
"a","doctors","office",4
"a","document","that",5
"a","document","with",3
"a","documentary","called",3
"a","documentary","on",10
"a","dog","and",12
"a","dog","in",11
"a","dog","is",5
"a","dog","that",7
"a","dog","to",5
"a","dog","with",5
"a","dollar","i",4
"a","dollar","in",4
"a","donation","to",10
"a","done","deal",14
"a","door","in",3
"a","door","prize",4
"a","door","to",7
"a","dose","of",18
"a","double","and",12
"a","doubleedged","sword",6
"a","doubt","it",3
"a","doubt","that",6
"a","doubt","the",6
"a","down","the",3
"a","dozen","of",10
"a","dozen","people",13
"a","draft","of",11
"a","drag","queen",8
"a","drama","series",3
"a","drawing","for",7
"a","drawing","of",5
"a","dream","and",12
"a","dream","is",4
"a","dream","speech",5
"a","dream","that",22
"a","dream","to",10
"a","dream","true",37
"a","dress","for",7
"a","dress","that",10
"a","dress","to",3
"a","dress","you",3
"a","drink","and",18
"a","drink","at",10
"a","drink","i",8
"a","drink","of",8
"a","drink","or",9
"a","drink","with",12
"a","drinking","problem",6
"a","drive","to",13
"a","drivers","license",10
"a","drop","box",4
"a","drop","in",26
"a","drop","of",12
"a","drug","dealer",5
"a","drum","set",3
"a","drunk","driver",4
"a","dryer","sheet",3
"a","dude","that",4
"a","duet","with",8
"a","duffle","bag",3
"a","dull","day",3
"a","dull","moment",9
"a","dumping","ground",4
"a","dusting","of",8
"a","duty","to",8
"a","dying","breed",3
"a","era","with",4
"a","fabulous","job",3
"a","facebook","page",23
"a","fact","but",3
"a","fact","of",7
"a","fact","that",16
"a","factor","in",29
"a","fair","amount",28
"a","fair","and",8
"a","fair","chance",7
"a","fair","question",4
"a","fair","shake",3
"a","fairly","regular",4
"a","fairy","tale",13
"a","familiar","face",4
"a","family","in",6
"a","family","member",30
"a","family","of",39
"a","family","that",9
"a","family","to",6
"a","family","trip",5
"a","family","vacation",9
"a","family","who",8
"a","fan","and",7
"a","fan","base",6
"a","fan","it",4
"a","fan","of",226
"a","fan","on",8
"a","fancy","dress",3
"a","fancy","restaurant",5
"a","fantastic","job",12
"a","fantastic","way",6
"a","far","better",9
"a","far","cry",18
"a","far","more",14
"a","farm","and",9
"a","farm","in",6
"a","farmers","market",8
"a","fashion","designer",6
"a","fashion","show",9
"a","fashion","statement",4
"a","fast","food",5
"a","faster","pace",4
"a","father","and",10
"a","father","in",3
"a","father","to",7
"a","father","who",4
"a","favor","to",4
"a","favorite","in",4
"a","favorite","of",10
"a","fear","of",16
"a","fear","that",3
"a","feast","for",4
"a","federal","agent",4
"a","feel","for",13
"a","feeling","a",4
"a","feeling","i",19
"a","feeling","of",31
"a","feeling","that",31
"a","feeling","the",5
"a","fellow","student",3
"a","female","version",3
"a","few","are",4
"a","few","at",6
"a","few","blocks",36
"a","few","brave",3
"a","few","bucks",15
"a","few","calls",3
"a","few","casual",3
"a","few","comments",4
"a","few","days",322
"a","few","decades",6
"a","few","deep",4
"a","few","different",23
"a","few","do",4
"a","few","dollars",11
"a","few","dozen",8
"a","few","drinks",15
"a","few","events",3
"a","few","exceptions",6
"a","few","extra",18
"a","few","friends",15
"a","few","from",6
"a","few","games",14
"a","few","good",18
"a","few","guys",9
"a","few","hours",177
"a","few","hundred",30
"a","few","i",11
"a","few","ideas",13
"a","few","in",15
"a","few","innings",3
"a","few","interesting",5
"a","few","items",10
"a","few","key",4
"a","few","kids",4
"a","few","laughs",6
"a","few","lessons",4
"a","few","lines",7
"a","few","members",3
"a","few","men",4
"a","few","miles",22
"a","few","minutes",203
"a","few","moments",32
"a","few","months",197
"a","few","more",214
"a","few","movies",5
"a","few","new",35
"a","few","nights",12
"a","few","of",212
"a","few","old",4
"a","few","on",5
"a","few","other",60
"a","few","others",15
"a","few","people",60
"a","few","pieces",8
"a","few","points",8
"a","few","projects",6
"a","few","questions",18
"a","few","quick",5
"a","few","quotes",5
"a","few","rounds",5
"a","few","rows",3
"a","few","seats",4
"a","few","seconds",28
"a","few","select",3
"a","few","shots",13
"a","few","shows",4
"a","few","simple",6
"a","few","small",6
"a","few","so",3
"a","few","special",7
"a","few","steps",15
"a","few","streets",3
"a","few","tables",8
"a","few","tears",5
"a","few","that",12
"a","few","things",108
"a","few","thousand",9
"a","few","times",123
"a","few","tips",12
"a","few","tricks",5
"a","few","tweaks",5
"a","few","ways",11
"a","few","weeks",289
"a","few","who",4
"a","few","words",20
"a","few","years",291
"a","field","and",4
"a","field","of",8
"a","field","sobriety",4
"a","field","trip",18
"a","field","with",4
"a","fight","for",3
"a","fight","i",4
"a","fight","in",4
"a","fight","to",3
"a","fight","with",21
"a","fighting","chance",6
"a","figure","of",3
"a","film","about",15
"a","film","that",12
"a","final","decision",19
"a","final","note",6
"a","finalist","for",13
"a","finalist","in",3
"a","fine","and",4
"a","fine","for",8
"a","fine","line",16
"a","fine","young",4
"a","fire","and",12
"a","fire","in",14
"a","fire","pit",7
"a","fire","truck",3
"a","firm","believer",13
"a","first","class",5
"a","first","draft",8
"a","first","for",16
"a","first","step",7
"a","first","time",12
"a","fish","fry",5
"a","fit","of",6
"a","flat","tire",9
"a","flaw","in",6
"a","flea","market",6
"a","flight","of",7
"a","flood","of",15
"a","flower","in",4
"a","flower","pot",3
"a","flyer","for",3
"a","focal","point",10
"a","focus","on",17
"a","folding","chair",3
"a","follower","of",16
"a","food","bank",3
"a","fool","of",8
"a","foot","in",5
"a","foot","of",9
"a","football","player",9
"a","for","a",6
"a","for","the",10
"a","force","in",6
"a","force","of",6
"a","force","to",9
"a","foreign","country",14
"a","foreign","language",9
"a","fork","in",8
"a","form","of",69
"a","former","colleague",5
"a","former","employee",7
"a","former","student",4
"a","forum","for",8
"a","foster","family",3
"a","foul","ball",5
"a","founder","of",3
"a","fourth","year",3
"a","fraction","of",47
"a","frame","for",3
"a","frame","that",3
"a","free","agent",49
"a","free","app",5
"a","free","beer",3
"a","free","concert",7
"a","free","country",5
"a","free","dinner",4
"a","free","download",11
"a","free","lunch",8
"a","free","market",9
"a","free","pass",10
"a","free","press",6
"a","free","sample",7
"a","freedom","of",6
"a","freelance","writer",12
"a","fresh","coat",5
"a","fresh","look",10
"a","fresh","perspective",6
"a","fresh","start",18
"a","freshman","at",11
"a","friday","and",4
"a","friday","night",41
"a","friend","a",8
"a","friend","about",3
"a","friend","and",39
"a","friend","asked",9
"a","friend","at",8
"a","friend","for",12
"a","friend","from",13
"a","friend","had",5
"a","friend","i",23
"a","friend","in",24
"a","friend","of",94
"a","friend","on",5
"a","friend","or",14
"a","friend","she",8
"a","friend","that",11
"a","friend","the",7
"a","friend","to",28
"a","friend","told",9
"a","friend","was",4
"a","friend","who",54
"a","friend","with",8
"a","friends","house",22
"a","frying","pan",11
"a","full","and",4
"a","full","day",20
"a","full","house",11
"a","full","month",4
"a","full","moon",23
"a","full","of",3
"a","full","recovery",14
"a","full","ride",3
"a","full","season",9
"a","full","set",9
"a","full","tank",3
"a","full","time",24
"a","full","week",6
"a","fulltime","job",12
"a","fun","and",33
"a","fun","book",4
"a","fun","game",10
"a","fun","surprise",5
"a","fun","time",25
"a","fun","way",13
"a","function","of",12
"a","fundraiser","for",20
"a","funeral","home",5
"a","funny","movie",5
"a","funny","thing",15
"a","future","for",5
"a","future","in",6
"a","future","with",4
"a","future","without",3
"a","gaggle","of",8
"a","gallon","of",21
"a","game","after",3
"a","game","and",19
"a","game","as",8
"a","game","at",11
"a","game","changer",13
"a","game","for",15
"a","game","in",30
"a","game","is",11
"a","game","it",7
"a","game","of",55
"a","game","on",11
"a","game","or",11
"a","game","plan",5
"a","game","since",4
"a","game","that",21
"a","game","they",7
"a","game","to",10
"a","game","where",4
"a","game","with",10
"a","gaping","hole",7
"a","garbage","can",7
"a","garden","of",5
"a","garden","party",4
"a","gas","station",15
"a","gem","of",4
"a","general","rule",9
"a","generation","of",17
"a","genius","and",7
"a","gentle","reminder",4
"a","gentleman","in",5
"a","gently","used",3
"a","geography","lesson",3
"a","get","a",4
"a","get","together",6
"a","gift","and",10
"a","gift","card",47
"a","gift","certificate",34
"a","gift","for",28
"a","gift","from",33
"a","gift","of",11
"a","gift","to",13
"a","girl","and",12
"a","girl","from",5
"a","girl","he",3
"a","girl","in",10
"a","girl","named",12
"a","girl","scout",4
"a","girl","she",7
"a","girl","to",11
"a","girl","who",43
"a","girl","with",21
"a","girls","night",8
"a","given","day",5
"a","glass","a",3
"a","glass","of",119
"a","glass","to",6
"a","glimmer","of",12
"a","glimpse","at",6
"a","glimpse","into",9
"a","glimpse","of",55
"a","global","economy",5
"a","glorious","day",13
"a","glowing","review",3
"a","glue","gun",5
"a","go","at",10
"a","go","to",4
"a","goal","and",20
"a","goal","for",9
"a","goal","in",9
"a","goal","of",15
"a","goal","or",4
"a","goal","that",6
"a","goal","to",10
"a","god","who",10
"a","gold","mine",8
"a","gold","star",5
"a","golden","age",4
"a","golden","globe",8
"a","golf","club",3
"a","golf","course",8
"a","good","amount",19
"a","good","and",10
"a","good","answer",5
"a","good","balance",6
"a","good","beat",4
"a","good","beer",7
"a","good","bit",7
"a","good","book",42
"a","good","breakfast",6
"a","good","case",6
"a","good","cause",12
"a","good","challenge",6
"a","good","chance",40
"a","good","choice",16
"a","good","chunk",11
"a","good","combination",3
"a","good","crop",5
"a","good","day",301
"a","good","days",5
"a","good","deal",40
"a","good","decision",12
"a","good","deed",5
"a","good","diet",3
"a","good","enough",10
"a","good","example",21
"a","good","excuse",7
"a","good","experience",12
"a","good","father",4
"a","good","feeling",29
"a","good","film",6
"a","good","first",12
"a","good","fit",38
"a","good","friend",66
"a","good","game",32
"a","good","girl",21
"a","good","god",5
"a","good","good",4
"a","good","guy",21
"a","good","head",3
"a","good","heart",8
"a","good","idea",181
"a","good","impression",7
"a","good","indication",7
"a","good","indicator",5
"a","good","investment",7
"a","good","job",117
"a","good","kick",3
"a","good","laugh",30
